avis,sentiment,confiance,justification,points_positifs,points_negatifs,categorie,action_recommandee
pourri,neutre,0.3,Aucun mot clé de sentiment significatif détecté.,[],[],autre,suivi
pourri,negatif,0.62,Analyse basée sur 0 terme(s) positif(s) et 1 terme(s) négatif(s) (intensité ×1.0). L'avis exprime une insatisfaction marquée.,[],"[""pourri""]",autre,contacter
claqué au centre de la planete,neutre,0.3,Aucun mot clé de sentiment significatif détecté.,[],[],autre,suivi
nul à chier,negatif,0.62,Analyse basée sur 0 terme(s) positif(s) et 1 terme(s) négatif(s) (intensité ×1.0). L'avis exprime une insatisfaction marquée.,[],"[""nul""]",autre,contacter
Super produit ! Livraison rapide et emballage soigné. Je recommande vivement ce produit à tous mes amis. Le rapport qualité-prix est excellent.,positif,0.98,Analyse basée sur 6 terme(s) positif(s) et 0 terme(s) négatif(s) (intensité ×1.0). L'avis exprime une satisfaction générale.,"[""emballage"", ""excellent"", ""qualité"", ""rapide"", ""soigné"", ""super""]",[],livraison,remercier
"Produit arrivé cassé. Le service client ne répond pas à mes messages. Très déçu de cet achat, je ne recommande pas.",negatif,0.86,Analyse basée sur 0 terme(s) positif(s) et 2 terme(s) négatif(s) (intensité ×1.5). L'avis exprime une insatisfaction marquée.,[],"[""cassé"", ""déçu""]",SAV,offrir_compensation
Le produit est correct mais le délai de livraison était trop long. Le service client a été réactif pour répondre à mes questions.,positif,0.74,Analyse basée sur 2 terme(s) positif(s) et 1 terme(s) négatif(s) (intensité ×1.0). L'avis exprime une satisfaction générale.,"[""correct"", ""réactif""]","[""trop""]",livraison,contacter
Je n'ai pas encore reçu ma commande passée il y a 3 semaines. Le suivi de colis ne fonctionne pas. C'est inacceptable !,negatif,0.86,Analyse basée sur 1 terme(s) positif(s) et 3 terme(s) négatif(s) (intensité ×1.0). L'avis exprime une insatisfaction marquée.,"[""suivi""]","[""fonctionne"", ""inacceptable"", ""reçu""]",livraison,offrir_compensation
Très bonne qualité de fabrication. Les matériaux sont solides et le design est magnifique. Parfaitement conforme à la description.,positif,0.98,Analyse basée sur 5 terme(s) positif(s) et 0 terme(s) négatif(s) (intensité ×1.5). L'avis exprime une satisfaction générale.,"[""bonne"", ""conforme"", ""magnifique"", ""parfaitement"", ""qualité""]",[],produit,remercier
Frais de port trop élevés par rapport au produit. Le site est bien fait mais les prix sont excessifs. Dommage.,negatif,0.86,Analyse basée sur 1 terme(s) positif(s) et 3 terme(s) négatif(s) (intensité ×1.0). L'avis exprime une insatisfaction marquée.,"[""bien""]","[""dommage"", ""excessifs"", ""trop""]",produit,offrir_compensation
Colis livré en parfait état et dans les temps. Le produit correspond exactement à mes attentes. Service impeccable.,positif,0.74,Analyse basée sur 2 terme(s) positif(s) et 0 terme(s) négatif(s) (intensité ×1.0). L'avis exprime une satisfaction générale.,"[""impeccable"", ""parfait""]",[],livraison,remercier
Le SAV m'a rappelé rapidement après mon signalement. Ils m'ont proposé un remboursement intégral. Bon suivi client.,positif,0.98,Analyse basée sur 5 terme(s) positif(s) et 1 terme(s) négatif(s) (intensité ×1.0). L'avis exprime une satisfaction générale.,"[""bon"", ""intégral"", ""rapidement"", ""remboursement"", ""suivi""]","[""signalement""]",SAV,remercier
super,positif,0.62,Analyse basée sur 1 terme(s) positif(s) et 0 terme(s) négatif(s) (intensité ×1.0). L'avis exprime une satisfaction générale.,"[""super""]",[],autre,remercier
